Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,ParLE,2018-04-08 08:00,394.97,2.5148,17.79,1.79,-229.74,0.02,20.35,2.05,0,0
1,Exit Long,Margin call,2018-04-08 08:00,404.04,2.5148,17.79,1.79,-229.74,0.02,20.35,2.05,0,0
2,Entry Long,ParLE,2018-04-08 08:00,394.97,250.6792,29583.76,29.88,29601.55,29.58,29906.67,30.21,2220.37,2.24
2,Exit Long,tpL,2018-04-13 00:00,515.26,250.6792,29583.76,29.88,29601.55,29.58,29906.67,30.21,2220.37,2.24
3,Entry Long,ParLE,2018-04-19 08:00,531.51,2.53,-6.77,-0.5,29274.10,-0.01,0,0,3.41,0.25
3,Exit Long,Margin call,2018-04-19 08:00,531.49,2.53,-6.77,-0.5,29274.10,-0.01,0,0,3.41,0.25
4,Entry Long,ParLE,2018-04-19 08:00,531.51,241.3294,39889.70,31.1,69484.48,30.78,43475.79,33.89,921.58,0.72
4,Exit Long,Close position order,2018-04-24 16:00,699.88,241.3294,39889.70,31.1,69484.48,30.78,43475.79,33.89,921.58,0.72
5,Entry Long,ParLE,2018-05-03 00:00,688.56,2.4608,-8.52,-0.5,69056.48,-0.01,0,0,4.29,0.25
5,Exit Long,Margin call,2018-05-03 00:00,688.54,2.4608,-8.52,-0.5,69056.48,-0.01,0,0,4.29,0.25
6,Entry Long,ParLE,2018-05-03 00:00,688.56,243.6825,20169.88,12.02,89645.83,11.9,36481.37,21.74,1191.95,0.71
6,Exit Long,Close entry(s) order ParLE,2018-05-06 16:00,774.99,243.6825,20169.88,12.02,89645.83,11.9,36481.37,21.74,1191.95,0.71
7,Entry Long,ParLE,2018-05-13 16:00,727.51,3.3252,-12.16,-0.5,89165.27,-0.01,0,0,6.11,0.25
7,Exit Long,Margin call,2018-05-13 16:00,727.49,3.3252,-12.16,-0.5,89165.27,-0.01,0,0,6.11,0.25
8,Entry Long,ParLE,2018-05-13 16:00,727.51,257.532,-10387.70,-5.54,79245.97,-5.48,3752.56,2,14372.55,7.67
8,Exit Long,Close entry(s) order ParLE,2018-05-16 08:00,690.72,257.532,-10387.70,-5.54,79245.97,-5.48,3752.56,2,14372.55,7.67
9,Entry Long,ParLE,2018-05-19 08:00,713.64,2.5208,1.44,0.08,78803.78,0,5.99,0.33,0,0
9,Exit Long,Margin call,2018-05-19 08:00,717.79,2.5208,1.44,0.08,78803.78,0,5.99,0.33,0,0
10,Entry Long,ParLE,2018-05-19 08:00,713.64,248.6566,-5694.17,-3.21,73553.23,-3.18,3594.56,2.03,8261.39,4.66
10,Exit Long,Close entry(s) order ParLE,2018-05-22 08:00,694.26,248.6566,-5694.17,-3.21,73553.23,-3.18,3594.56,2.03,8261.39,4.66
11,Entry Short,ParSE,2018-05-22 08:00,694.26,250.6046,-874.95,-0.5,72678.29,-0.5,0,0,439.97,0.25
11,Exit Short,Margin call,2018-05-22 08:00,694.28,250.6046,-874.95,-0.5,72678.29,-0.5,0,0,439.97,0.25
12,Entry Long,ParLE,2018-05-26 08:00,598.97,3.8288,-11.54,-0.5,72240.43,-0.01,0,0,5.81,0.25
12,Exit Long,Margin call,2018-05-26 08:00,598.95,3.8288,-11.54,-0.5,72240.43,-0.01,0,0,5.81,0.25
13,Entry Long,ParLE,2018-05-26 08:00,598.97,284.6992,572.99,0.34,73239.73,0.33,1276.19,0.75,2131.66,1.25
13,Exit Long,Close position order,2018-05-26 16:00,603.99,284.6992,572.99,0.34,73239.73,0.33,1276.19,0.75,2131.66,1.25
14,Entry Long,ParLE,2018-06-15 00:00,519.31,3.3872,-8.86,-0.5,72802.15,-0.01,0,0,4.47,0.25
14,Exit Long,Margin call,2018-06-15 00:00,519.29,3.3872,-8.86,-0.5,72802.15,-0.01,0,0,4.47,0.25
15,Entry Long,ParLE,2018-06-15 00:00,519.31,330.2216,-7208.19,-4.2,66022.67,-4.16,9111.38,5.31,12874.77,7.51
15,Exit Long,Close entry(s) order ParLE,2018-06-22 08:00,500.03,330.2216,-7208.19,-4.2,66022.67,-4.16,9111.38,5.31,12874.77,7.51
16,Entry Long,ParLE,2018-06-26 00:00,459.05,4.7232,-10.94,-0.5,65601.79,-0.01,0,0,5.51,0.25
16,Exit Long,Margin call,2018-06-26 00:00,459.03,4.7232,-10.94,-0.5,65601.79,-0.01,0,0,5.51,0.25
17,Entry Long,ParLE,2018-06-26 00:00,459.05,357.2185,-10579.66,-6.45,55432.08,-6.37,218.75,0.13,14291.46,8.72
17,Exit Long,Close entry(s) order ParLE,2018-06-27 16:00,431.66,357.2185,-10579.66,-6.45,55432.08,-6.37,218.75,0.13,14291.46,8.72
18,Entry Long,ParLE,2018-06-30 00:00,451.78,3.3864,30.72,2.01,55078.04,0.02,34.68,2.27,0,0
18,Exit Long,Margin call,2018-06-30 00:00,463.14,3.3864,30.72,2.01,55078.04,0.02,34.68,2.27,0,0
19,Entry Long,ParLE,2018-06-30 00:00,451.78,340.6652,4667.49,3.03,60130.29,3,11606.65,7.54,4057.14,2.64
19,Exit Long,Close entry(s) order ParLE,2018-07-06 00:00,467.78,340.6652,4667.49,3.03,60130.29,3,11606.65,7.54,4057.14,2.64
20,Entry Long,ParLE,2018-07-07 16:00,479.09,3.3128,21.44,1.35,59755.36,0.01,25.52,1.61,0,0
20,Exit Long,Margin call,2018-07-07 16:00,487.98,3.3128,21.44,1.35,59755.36,0.01,25.52,1.61,0,0
21,Entry Long,ParLE,2018-07-07 16:00,479.09,330.9337,-8177.21,-5.16,51974.52,-5.11,5193.10,3.28,10023.23,6.32
21,Exit Long,Close entry(s) order ParLE,2018-07-10 08:00,456.72,330.9337,-8177.21,-5.16,51974.52,-5.11,5193.10,3.28,10023.23,6.32
22,Entry Long,ParLE,2018-07-15 08:00,440.01,3.3852,36.35,2.44,51634.65,0.02,40.22,2.7,0,0
22,Exit Long,Margin call,2018-07-15 08:00,452.98,3.3852,36.35,2.44,51634.65,0.02,40.22,2.7,0,0
23,Entry Long,ParLE,2018-07-15 08:00,440.01,342.0114,2580.66,1.71,54591.52,1.7,4750.53,3.16,0,0
23,Exit Long,Close position order,2018-07-16 00:00,449.78,342.0114,2580.66,1.71,54591.52,1.7,4750.53,3.16,0,0
24,Entry Long,ParLE,2018-08-15 16:00,302.32,5.1568,3.11,0.2,54212.04,0,7.09,0.45,0,0
24,Exit Long,Margin call,2018-08-15 16:00,304.44,5.1568,3.11,0.2,54212.04,0,7.09,0.45,0,0
25,Entry Long,ParLE,2018-08-15 16:00,302.32,506.2137,-8803.97,-5.75,45790.66,-5.69,9240.53,6.04,13554.28,8.86
25,Exit Long,Close entry(s) order ParLE,2018-08-20 16:00,286.40,506.2137,-8803.97,-5.75,45790.66,-5.69,9240.53,6.04,13554.28,8.86
26,Entry Long,ParLE,2018-08-27 00:00,279.29,5.2904,-6.28,-0.42,45423.59,0,0,0,2.58,0.17
26,Exit Long,Margin call,2018-08-27 00:00,279.50,5.2904,-6.28,-0.42,45423.59,0,0,0,2.58,0.17
27,Entry Long,ParLE,2018-08-27 00:00,279.29,516.7328,-1788.55,-1.24,43995.83,-1.23,0,0,3068.48,2.13
27,Exit Long,Close position order,2018-08-27 16:00,277.22,516.7328,-1788.55,-1.24,43995.83,-1.23,0,0,3068.48,2.13
28,Entry Long,ParLE,2018-10-06 00:00,228.37,6.3052,-7.33,-0.51,43632.11,-0.01,0,0,3.73,0.26
28,Exit Long,Margin call,2018-10-06 00:00,228.35,6.3052,-7.33,-0.51,43632.11,-0.01,0,0,3.73,0.26
29,Entry Long,ParLE,2018-10-06 00:00,228.37,624.2322,-18060.41,-12.67,25928.09,-12.54,2346.54,1.65,20562.79,14.42
29,Exit Long,Close entry(s) order ParLE,2018-10-11 08:00,200.51,624.2322,-18060.41,-12.67,25928.09,-12.54,2346.54,1.65,20562.79,14.42
30,Entry Long,ParLE,2018-10-15 00:00,208.19,5.408,160.52,14.26,25776.59,0.13,163.81,14.55,0,0
30,Exit Long,Margin call,2018-10-15 00:00,238.99,5.408,160.52,14.26,25776.59,0.13,163.81,14.55,0,0
31,Entry Long,ParLE,2018-10-15 00:00,208.19,599.5029,4458.98,3.57,30547.60,3.54,18158.66,14.55,0,0
31,Exit Long,Close position order,2018-10-15 16:00,216.69,599.5029,4458.98,3.57,30547.60,3.54,18158.66,14.55,0,0
32,Entry Long,ParLE,2018-11-02 16:00,202.23,6.7112,-6.92,-0.51,30217.67,-0.01,0,0,3.53,0.26
32,Exit Long,Margin call,2018-11-02 16:00,202.21,6.7112,-6.92,-0.51,30217.67,-0.01,0,0,3.53,0.26
33,Entry Long,ParLE,2018-11-02 16:00,202.23,638.8928,6077.45,4.7,36618.13,4.66,14096.80,10.91,2648.58,2.05
33,Exit Long,Close entry(s) order ParLE,2018-11-09 00:00,212.78,638.8928,6077.45,4.7,36618.13,4.66,14096.80,10.91,2648.58,2.05
34,Entry Long,ParLE,2018-11-13 16:00,213.51,6.5096,-5.13,-0.37,36274.91,0,0,0,1.65,0.12
34,Exit Long,Margin call,2018-11-13 16:00,213.79,6.5096,-5.13,-0.37,36274.91,0,0,0,1.65,0.12
35,Entry Long,ParLE,2018-11-13 16:00,213.51,633.3879,-2723.22,-2.01,33889.78,-1.99,0,0,3270.67,2.42
35,Exit Long,Close entry(s) order ParLE,2018-11-14 08:00,210.27,633.3879,-2723.22,-2.01,33889.78,-1.99,0,0,3270.67,2.42
36,Entry Long,ParLE,2018-12-08 00:00,93.07,15.6272,-7.58,-0.52,33551.04,-0.01,0,0,3.95,0.27
36,Exit Long,Margin call,2018-12-08 00:00,93.05,15.6272,-7.58,-0.52,33551.04,-0.01,0,0,3.95,0.27
37,Entry Long,ParLE,2018-12-08 00:00,93.07,1423.2742,-5205.41,-3.93,28676.78,-3.89,7681.87,5.8,12457.46,9.4
37,Exit Long,Close entry(s) order ParLE,2018-12-11 00:00,89.87,1423.2742,-5205.41,-3.93,28676.78,-3.89,7681.87,5.8,12457.46,9.4
38,Entry Long,ParLE,2018-12-16 00:00,87.50,16.0184,-4.93,-0.35,28353.59,0,0,0,1.42,0.1
38,Exit Long,Margin call,2018-12-16 00:00,87.63,16.0184,-4.93,-0.35,28353.59,0,0,0,1.42,0.1
39,Entry Long,ParLE,2018-12-16 00:00,87.50,1454.9071,-2552.20,-2,26119.65,-1.98,0,0,3548.15,2.79
39,Exit Long,Close position order,2018-12-16 16:00,86.18,1454.9071,-2552.20,-2,26119.65,-1.98,0,0,3548.15,2.79
40,Entry Long,ParLE,2018-12-30 00:00,133.01,12.916,-8.85,-0.51,25799.52,-0.01,0,0,4.55,0.27
40,Exit Long,Margin call,2018-12-30 00:00,132.99,12.916,-8.85,-0.51,25799.52,-0.01,0,0,4.55,0.27
41,Entry Long,ParLE,2018-12-30 00:00,133.01,936.137,15784.23,12.68,41895.04,12.52,24262.31,19.49,5909.39,4.75
41,Exit Long,Close entry(s) order ParLE,2019-01-07 16:00,150.58,936.137,15784.23,12.68,41895.04,12.52,24262.31,19.49,5909.39,4.75
42,Entry Long,ParLE,2019-02-08 08:00,109.50,13.064,34.29,2.4,41578.13,0.02,38.10,2.66,0,0
42,Exit Long,Margin call,2019-02-08 08:00,112.68,13.064,34.29,2.4,41578.13,0.02,38.10,2.66,0,0
43,Entry Long,ParLE,2019-02-08 08:00,109.50,1282.9024,14295.64,10.18,56224.96,10.07,21445.32,15.27,992.65,0.71
43,Exit Long,Close entry(s) order ParLE,2019-02-15 16:00,121.22,1282.9024,14295.64,10.18,56224.96,10.07,21445.32,15.27,992.65,0.71
44,Entry Long,ParLE,2019-03-05 08:00,131.63,12.0224,32.38,2.05,55870.70,0.02,36.56,2.31,0,0
44,Exit Long,Margin call,2019-03-05 08:00,134.99,12.0224,32.38,2.05,55870.70,0.02,36.56,2.31,0,0
45,Entry Long,ParLE,2019-03-05 08:00,131.63,1174.942,5168.78,3.34,61426.12,3.31,6909.75,4.47,0,0
45,Exit Long,Close position order,2019-03-06 00:00,136.70,1174.942,5168.78,3.34,61426.12,3.31,6909.75,4.47,0,0
46,Entry Long,ParLE,2019-04-07 00:00,165.57,11.4036,-9.67,-0.51,61017.43,-0.01,0,0,4.95,0.26
46,Exit Long,Margin call,2019-04-07 00:00,165.55,11.4036,-9.67,-0.51,61017.43,-0.01,0,0,4.95,0.26
47,Entry Long,ParLE,2019-04-07 00:00,165.57,963.9807,10298.50,6.45,71714.95,6.38,19169.79,12.01,1854.63,1.16
47,Exit Long,Close entry(s) order ParLE,2019-04-11 00:00,177.11,963.9807,10298.50,6.45,71714.95,6.38,19169.79,12.01,1854.63,1.16
48,Entry Long,ParLE,2019-04-15 00:00,167.22,10.0228,-8.58,-0.51,71281.30,-0.01,0,0,4.39,0.26
48,Exit Long,Margin call,2019-04-15 00:00,167.20,10.0228,-8.58,-0.51,71281.30,-0.01,0,0,4.39,0.26
49,Entry Long,ParLE,2019-04-15 00:00,167.22,1016.7962,-8274.48,-4.87,63431.88,-4.82,1191.63,0.7,12138.56,7.14
49,Exit Long,Close entry(s) order ParLE,2019-04-16 00:00,159.90,1016.7962,-8274.48,-4.87,63431.88,-4.82,1191.63,0.7,12138.56,7.14
50,Entry Long,ParLE,2019-04-18 00:00,167.29,9.6732,46.91,2.9,63074.23,0.03,51.19,3.16,0,0
50,Exit Long,Margin call,2019-04-18 00:00,172.99,9.6732,46.91,2.9,63074.23,0.03,51.19,3.16,0,0
51,Entry Long,ParLE,2019-04-18 00:00,167.29,967.3227,975.96,0.6,64454.75,0.6,8959.13,5.54,2793.85,1.73
51,Exit Long,Close entry(s) order ParLE,2019-04-24 00:00,169.14,967.3227,975.96,0.6,64454.75,0.6,8959.13,5.54,2793.85,1.73
52,Entry Long,ParLE,2019-04-27 00:00,165.53,10.272,-1.33,-0.08,64046.49,0,3.04,0.18,0,0
52,Exit Long,Margin call,2019-04-27 00:00,166.23,10.272,-1.33,-0.08,64046.49,0,3.04,0.18,0,0
53,Entry Long,ParLE,2019-04-27 00:00,165.53,983.3272,-8415.58,-5.17,56037.83,-5.12,291.24,0.18,9433.87,5.8
53,Exit Long,Close position order,2019-04-27 16:00,157.78,983.3272,-8415.58,-5.17,56037.83,-5.12,291.24,0.18,9433.87,5.8
54,Entry Long,ParLE,2019-05-06 16:00,170.62,9.3604,-8.17,-0.51,55643.54,-0.01,0,0,4.18,0.26
54,Exit Long,Margin call,2019-05-06 16:00,170.60,9.3604,-8.17,-0.51,55643.54,-0.01,0,0,4.18,0.26
55,Entry Long,ParLE,2019-05-06 16:00,170.62,905.2274,-474.27,-0.31,55555.39,-0.3,10603.34,6.87,5654.55,3.66
55,Exit Long,Close entry(s) order ParLE,2019-05-10 00:00,170.95,905.2274,-474.27,-0.31,55555.39,-0.3,10603.34,6.87,5654.55,3.66
56,Entry Long,ParLE,2019-05-11 08:00,180.92,8.284,107.86,7.2,55278.07,0.07,111.98,7.47,0,0
56,Exit Long,Margin call,2019-05-11 08:00,194.88,8.284,107.86,7.2,55278.07,0.07,111.98,7.47,0,0
57,Entry Long,ParLE,2019-05-11 08:00,180.92,851.5993,48227.09,31.3,103890.34,30.98,48735.07,31.63,317.05,0.21
57,Exit Long,tpL,2019-05-15 16:00,238.60,851.5993,48227.09,31.3,103890.34,30.98,48735.07,31.63,317.05,0.21
58,Entry Long,ParLE,2019-05-25 00:00,248.85,7.9292,-10.02,-0.51,103375.56,0,0,0,5.09,0.26
58,Exit Long,Margin call,2019-05-25 00:00,248.83,7.9292,-10.02,-0.51,103375.56,0,0,0,5.09,0.26
59,Entry Long,ParLE,2019-05-25 00:00,248.85,811.3352,12166.01,6.03,116046.33,5.97,24435.69,12.1,3539.15,1.75
59,Exit Long,Close entry(s) order ParLE,2019-05-29 08:00,265.13,811.3352,12166.01,6.03,116046.33,5.97,24435.69,12.1,3539.15,1.75
60,Entry Long,ParLE,2019-06-21 00:00,271.28,8.6704,-11.93,-0.51,115500.04,-0.01,0,0,6.05,0.26
60,Exit Long,Margin call,2019-06-21 00:00,271.26,8.6704,-11.93,-0.51,115500.04,-0.01,0,0,6.05,0.26
61,Entry Long,ParLE,2019-06-21 00:00,271.28,787.9018,27712.12,12.97,143746.52,12.83,39191.65,18.34,581.63,0.27
61,Exit Long,Close entry(s) order ParLE,2019-06-24 08:00,307.90,787.9018,27712.12,12.97,143746.52,12.83,39191.65,18.34,581.63,0.27
62,Entry Long,ParLE,2019-08-18 08:00,191.21,12.7804,47.57,1.95,143190.78,0.02,53.96,2.21,0,0
62,Exit Long,Margin call,2019-08-18 08:00,195.90,12.7804,47.57,1.95,143190.78,0.02,53.96,2.21,0,0
63,Entry Long,ParLE,2019-08-18 08:00,191.21,1262.0644,2696.02,1.12,146490.11,1.11,7852.53,3.25,0,0
63,Exit Long,Close position order,2019-08-19 00:00,194.31,1262.0644,2696.02,1.12,146490.11,1.11,7852.53,3.25,0,0
64,Entry Long,ParLE,2019-09-02 16:00,172.51,14.9536,-13.20,-0.51,145867.06,-0.01,0,0,6.75,0.26
64,Exit Long,Margin call,2019-09-02 16:00,172.49,14.9536,-13.20,-0.51,145867.06,-0.01,0,0,6.75,0.26
65,Entry Long,ParLE,2019-09-02 16:00,172.51,1414.0574,-2446.85,-1,144030.06,-0.99,14223.61,5.83,6845.84,2.81
65,Exit Long,Close entry(s) order ParLE,2019-09-05 16:00,171.64,1414.0574,-2446.85,-1,144030.06,-0.99,14223.61,5.83,6845.84,2.81
66,Entry Long,ParLE,2019-09-07 16:00,179.56,13.854,4.56,0.18,143430.73,0,10.96,0.44,0,0
66,Exit Long,Margin call,2019-09-07 16:00,180.79,13.854,4.56,0.18,143430.73,0,10.96,0.44,0,0
67,Entry Long,ParLE,2019-09-07 16:00,179.56,1345.2803,-5985.02,-2.48,138049.61,-2.45,7225.64,2.99,6213.72,2.57
67,Exit Long,Close entry(s) order ParLE,2019-09-11 16:00,176.00,1345.2803,-5985.02,-2.48,138049.61,-2.45,7225.64,2.99,6213.72,2.57
68,Entry Long,ParLE,2019-09-14 08:00,180.49,13.7756,-12.71,-0.51,137447.92,-0.01,0,0,6.49,0.26
68,Exit Long,Margin call,2019-09-14 08:00,180.47,13.7756,-12.71,-0.51,137447.92,-0.01,0,0,6.49,0.26
69,Entry Long,ParLE,2019-09-14 08:00,180.49,1305.278,32075.51,13.61,170112.40,13.48,47419.15,20.13,1332.98,0.57
69,Exit Long,Close entry(s) order ParLE,2019-09-19 08:00,206.03,1305.278,32075.51,13.61,170112.40,13.48,47419.15,20.13,1332.98,0.57
70,Entry Long,ParLE,2019-10-07 16:00,179.89,15.3636,23.27,0.84,169467.25,0.01,30.42,1.1,0,0
70,Exit Long,Margin call,2019-10-07 16:00,182.31,15.3636,23.27,0.84,169467.25,0.01,30.42,1.1,0,0
71,Entry Long,ParLE,2019-10-07 16:00,179.89,1486.3171,5423.79,2.03,175559.47,2.01,24242.24,9.07,4963.89,1.86
71,Exit Long,Close entry(s) order ParLE,2019-10-11 16:00,184.45,1486.3171,5423.79,2.03,175559.47,2.01,24242.24,9.07,4963.89,1.86
72,Entry Long,ParLE,2019-10-15 00:00,186.71,14.442,-13.77,-0.51,174863.58,-0.01,0,0,7.03,0.26
72,Exit Long,Margin call,2019-10-15 00:00,186.69,14.442,-13.77,-0.51,174863.58,-0.01,0,0,7.03,0.26
73,Entry Long,ParLE,2019-10-15 00:00,186.71,1461.3477,-10401.95,-3.81,165143.75,-3.78,1743.72,0.64,16391.61,6.01
73,Exit Long,Close entry(s) order ParLE,2019-10-16 00:00,180.51,1461.3477,-10401.95,-3.81,165143.75,-3.78,1743.72,0.64,16391.61,6.01
74,Entry Long,ParLE,2019-10-20 16:00,175.37,15.4064,9.54,0.35,164497.14,0,16.51,0.61,0,0
74,Exit Long,Margin call,2019-10-20 16:00,176.87,15.4064,9.54,0.35,164497.14,0,16.51,0.61,0,0
75,Entry Long,ParLE,2019-10-20 16:00,175.37,1496.6089,-7567.42,-2.88,157585.88,-2.85,3130.27,1.19,8243.96,3.14
75,Exit Long,Close entry(s) order ParLE,2019-10-23 00:00,171.18,1496.6089,-7567.42,-2.88,157585.88,-2.85,3130.27,1.19,8243.96,3.14
76,Entry Long,ParLE,2019-10-25 08:00,167.48,15.1132,145.79,5.76,157093.95,0.06,152.66,6.03,0,0
76,Exit Long,Margin call,2019-10-25 08:00,177.99,15.1132,145.79,5.76,157093.95,0.06,152.66,6.03,0,0
77,Entry Long,ParLE,2019-10-25 08:00,167.48,1523.0668,20054.98,7.86,177786.66,7.78,30280.55,11.87,0,0
77,Exit Long,Close position order,2019-10-26 00:00,181.52,1523.0668,20054.98,7.86,177786.66,7.78,30280.55,11.87,0,0
78,Entry Long,ParLE,2019-11-10 08:00,187.26,15.7876,-15.10,-0.51,177084.36,-0.01,0,0,7.71,0.26
78,Exit Long,Margin call,2019-11-10 08:00,187.24,15.7876,-15.10,-0.51,177084.36,-0.01,0,0,7.71,0.26
79,Entry Long,ParLE,2019-11-10 08:00,187.26,1467.8776,-4800.62,-1.75,172970.94,-1.73,5654.04,2.06,7806.39,2.84
