Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,ParLE,2018-01-05 04:30,989.48,60.6385,-2305.28,-3.84,-2305.28,-2.31,1805.69,3.01,2261.94,3.77
1,Exit Long,ParSE,2018-01-05 16:30,952.92,60.6385,-2305.28,-3.84,-2305.28,-2.31,1805.69,3.01,2261.94,3.77
2,Entry Short,ParSE,2018-01-05 16:30,952.92,61.8273,-2755.75,-4.68,-5061.03,-2.82,1286.34,2.18,2893.19,4.91
2,Exit Short,Close entry(s) order ParSE,2018-01-06 12:00,996.03,61.8273,-2755.75,-4.68,-5061.03,-2.82,1286.34,2.18,2893.19,4.91
3,Entry Long,ParLE,2018-01-06 12:00,996.03,119.0464,8977.08,7.57,3916.05,9.46,10800.24,9.11,1165.11,0.98
3,Exit Long,Close entry(s) order ParLE,2018-01-07 15:00,1072.99,119.0464,8977.08,7.57,3916.05,9.46,10800.24,9.11,1165.11,0.98
4,Entry Short,ParSE,2018-01-07 15:00,1072.99,57.3865,-926.24,-1.5,2893.38,-0.89,339.46,0.55,879.43,1.43
4,Exit Short,ParLE,2018-01-07 15:00,1087.51,57.3865,-926.24,-1.5,2893.38,-0.89,339.46,0.55,879.43,1.43
5,Entry Short,ParSE,2018-01-07 15:00,1072.99,119.8218,-2617.47,-2.04,372.34,-2.54,708.78,0.55,3125.52,2.43
5,Exit Short,Close entry(s) order ParSE,2018-01-07 16:30,1093.21,119.8218,-2617.47,-2.04,372.34,-2.54,708.78,0.55,3125.52,2.43
6,Entry Long,ParLE,2018-01-12 12:00,1227.26,49.0718,5927.24,9.84,6299.58,5.91,5976.92,9.92,1137.51,1.89
6,Exit Long,tpL,2018-01-13 12:00,1349.98,49.0718,5927.24,9.84,6299.58,5.91,5976.92,9.92,1137.51,1.89
7,Entry Short,ParSE,2018-01-15 12:00,1297.63,49.1505,6286.88,9.86,12586.47,5.91,6329.93,9.92,1456.98,2.28
7,Exit Short,tpS,2018-01-16 07:30,1167.87,49.1505,6286.88,9.86,12586.47,5.91,6329.93,9.92,1456.98,2.28
8,Entry Short,ParSE,2018-01-21 16:30,1029.33,65.7119,-3238.27,-4.79,9348.20,-2.88,1219.48,1.8,3185.19,4.71
8,Exit Short,ParLE,2018-01-22 07:30,1077.03,65.7119,-3238.27,-4.79,9348.20,-2.88,1219.48,1.8,3185.19,4.71
9,Entry Long,ParLE,2018-01-22 07:30,1077.03,61.7792,-4042.07,-6.07,5306.13,-3.7,133.58,0.2,3995.12,6
9,Exit Long,ParSE,2018-01-22 12:00,1013.17,61.7792,-4042.07,-6.07,5306.13,-3.7,133.58,0.2,3995.12,6
10,Entry Short,ParSE,2018-01-22 12:00,1013.17,63.3709,6086.35,9.48,11392.49,5.78,6129.88,9.55,0,0
10,Exit Short,tpS,2018-01-22 21:00,915.68,63.3709,6086.35,9.48,11392.49,5.78,6129.88,9.55,0,0
11,Entry Long,ParLE,2018-01-25 21:00,1060.90,62.8791,-2656.69,-3.98,8735.79,-2.38,877.44,1.32,2608.58,3.91
11,Exit Long,ParSE,2018-01-26 07:30,1020.21,62.8791,-2656.69,-3.98,8735.79,-2.38,877.44,1.32,2608.58,3.91
12,Entry Short,ParSE,2018-01-26 07:30,1020.21,65.0778,-2418.10,-3.64,6317.69,-2.22,2241.59,3.38,2767.44,4.17
12,Exit Short,Close entry(s) order ParSE,2018-01-26 16:30,1055.81,65.0778,-2418.10,-3.64,6317.69,-2.22,2241.59,3.38,2767.44,4.17
13,Entry Long,ParLE,2018-01-26 16:30,1055.81,125.3554,5911.72,4.47,12229.42,5.56,8234.36,6.22,3961.46,2.99
13,Exit Long,Close entry(s) order ParLE,2018-01-28 03:00,1104.59,125.3554,5911.72,4.47,12229.42,5.56,8234.36,6.22,3961.46,2.99
14,Entry Short,ParSE,2018-01-28 03:00,1104.59,60.0564,-1163.90,-1.75,10960.87,-1.04,759.81,1.15,1113.35,1.68
14,Exit Short,ParLE,2018-01-28 03:00,1122.30,60.0564,-1163.90,-1.75,10960.87,-1.04,759.81,1.15,1113.35,1.68
15,Entry Short,ParSE,2018-01-28 03:00,1104.59,126.3172,-2925.89,-2.1,8139.63,-2.63,1598.11,1.15,2822.99,2.02
15,Exit Short,Close entry(s) order ParSE,2018-01-28 04:30,1126.08,126.3172,-2925.89,-2.1,8139.63,-2.63,1598.11,1.15,2822.99,2.02
16,Entry Short,ParSE,2018-01-28 19:30,1193.99,54.3415,-1397.60,-2.15,6742.02,-1.29,711.58,1.1,1347.97,2.08
16,Exit Short,ParLE,2018-01-28 21:00,1217.90,54.3415,-1397.60,-2.15,6742.02,-1.29,711.58,1.1,1347.97,2.08
17,Entry Long,ParLE,2018-01-28 21:00,1217.90,52.9965,-2425.85,-3.76,4316.17,-2.27,533.49,0.83,2379.19,3.69
17,Exit Long,ParSE,2018-01-29 01:30,1173.92,52.9965,-2425.85,-3.76,4316.17,-2.27,533.49,0.83,2379.19,3.69
18,Entry Short,ParSE,2018-01-29 01:30,1173.92,53.5049,328.79,0.52,4644.96,0.32,3323.70,5.29,1185.69,1.89
18,Exit Short,Close entry(s) order ParSE,2018-01-30 09:00,1166.02,53.5049,328.79,0.52,4644.96,0.32,3323.70,5.29,1185.69,1.89
19,Entry Long,ParLE,2018-01-30 09:00,1166.02,107.3769,-5685.67,-4.54,-1040.71,-5.43,3.81,0,5595.90,4.47
19,Exit Long,ParSE,2018-01-30 13:30,1114.78,107.3769,-5685.67,-4.54,-1040.71,-5.43,3.81,0,5595.90,4.47
20,Entry Short,ParSE,2018-01-30 13:30,1114.78,54.7659,1299.97,2.13,259.26,1.31,5528.28,9.06,852.49,1.4
20,Exit Short,ParLE,2018-01-31 07:30,1089.39,54.7659,1299.97,2.13,259.26,1.31,5528.28,9.06,852.49,1.4
21,Entry Long,ParLE,2018-01-31 07:30,1089.39,55.3016,267.17,0.44,526.42,0.27,3232.54,5.37,1406.16,2.33
21,Exit Long,ParSE,2018-02-01 07:30,1095.86,55.3016,267.17,0.44,526.42,0.27,3232.54,5.37,1406.16,2.33
22,Entry Short,ParSE,2018-02-01 07:30,1095.86,56.2126,6096.75,9.9,6623.17,6.06,6138.31,9.96,2160.36,3.51
22,Exit Short,tpS,2018-02-01 19:30,985.84,56.2126,6096.75,9.9,6623.17,6.06,6138.31,9.96,2160.36,3.51
23,Entry Long,ParLE,2018-02-09 10:30,822.02,77.8261,6296.55,9.84,12919.72,5.91,6349.32,9.92,199.74,0.31
23,Exit Long,tpL,2018-02-10 03:00,904.22,77.8261,6296.55,9.84,12919.72,5.91,6349.32,9.92,199.74,0.31
24,Entry Long,ParLE,2018-02-15 00:00,920.81,73.5785,-885.39,-1.31,12034.33,-0.78,2072.66,3.06,1178.04,1.74
