Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,ParSE,2018-01-01 16:00,748.27,80.1282,-1099.52,-1.83,-1099.52,-1.1,1211.57,2.02,1087.31,1.81
1,Exit Short,ParLE,2018-01-01 20:00,761.69,80.1282,-1099.52,-1.83,-1099.52,-1.1,1211.57,2.02,1087.31,1.81
2,Entry Long,ParLE,2018-01-01 20:00,761.69,78.8924,2970.12,4.94,1870.60,3,2982.74,4.96,1008.43,1.68
2,Exit Long,tpL,2018-01-02 00:00,799.65,78.8924,2970.12,4.94,1870.60,3,2982.74,4.96,1008.43,1.68
3,Entry Long,ParLE,2018-01-26 18:00,1061.31,57.5914,3031.32,4.96,4901.92,2.98,3044.15,4.98,1700.23,2.78
3,Exit Long,tpL,2018-01-27 16:00,1114.38,57.5914,3031.32,4.96,4901.92,2.98,3044.15,4.98,1700.23,2.78
4,Entry Short,ParSE,2018-02-16 10:00,919.81,68.4276,-1550.05,-2.46,3351.87,-1.48,415.77,0.66,1537.16,2.44
4,Exit Short,ParLE,2018-02-16 22:00,942.09,68.4276,-1550.05,-2.46,3351.87,-1.48,415.77,0.66,1537.16,2.44
5,Entry Long,ParLE,2018-02-16 22:00,942.09,66.0966,895.63,1.44,4247.50,0.87,2394.12,3.84,581.55,0.93
5,Exit Long,ParSE,2018-02-18 02:00,956.02,66.0966,895.63,1.44,4247.50,0.87,2394.12,3.84,581.55,0.93
6,Entry Short,ParSE,2018-02-18 02:00,956.02,66.1349,3124.02,4.94,7371.52,3,3136.04,4.96,31.82,0.05
6,Exit Short,tpS,2018-02-18 08:00,908.41,66.1349,3124.02,4.94,7371.52,3,3136.04,4.96,31.82,0.05
7,Entry Short,ParSE,2018-02-25 16:00,823.71,78.2467,-1844.60,-2.86,5526.93,-1.72,269.58,0.42,1831.34,2.84
7,Exit Short,ParLE,2018-02-25 22:00,846.95,78.2467,-1844.60,-2.86,5526.93,-1.72,269.58,0.42,1831.34,2.84
8,Entry Long,ParLE,2018-02-25 22:00,846.95,75.1854,3136.19,4.93,8663.12,2.97,3149.56,4.95,1061.57,1.67
8,Exit Long,tpL,2018-02-27 06:00,889.01,75.1854,3136.19,4.93,8663.12,2.97,3149.56,4.95,1061.57,1.67
9,Entry Long,ParLE,2018-03-04 14:00,856.09,76.1577,292.20,0.45,8955.32,0.27,1179.59,1.81,400.68,0.61
9,Exit Long,ParSE,2018-03-05 14:00,860.27,76.1577,292.20,0.45,8955.32,0.27,1179.59,1.81,400.68,0.61
10,Entry Short,ParSE,2018-03-05 14:00,860.27,76.323,3260.86,4.97,12216.18,2.99,3273.34,4.99,296.29,0.45
10,Exit Short,tpS,2018-03-06 16:00,817.21,76.323,3260.86,4.97,12216.18,2.99,3273.34,4.99,296.29,0.45
11,Entry Short,ParSE,2018-03-12 16:00,693.48,96.9163,-1647.65,-2.45,10568.53,-1.47,1650.61,2.46,1978.90,2.94
11,Exit Short,Close entry(s) order ParSE,2018-03-13 06:00,710.20,96.9163,-1647.65,-2.45,10568.53,-1.47,1650.61,2.46,1978.90,2.94
12,Entry Long,ParLE,2018-03-13 06:00,710.20,190.1245,-5604.54,-4.15,4964.00,-5.07,552.87,0.41,5578.64,4.13
12,Exit Long,ParSE,2018-03-13 18:00,681.00,190.1245,-5604.54,-4.15,4964.00,-5.07,552.87,0.41,5578.64,4.13
13,Entry Short,ParSE,2018-03-13 18:00,681.00,93.5105,3173.23,4.98,8137.22,3.02,3185.32,5,2120.46,3.33
13,Exit Short,tpS,2018-03-14 16:00,646.80,93.5105,3173.23,4.98,8137.22,3.02,3185.32,5,2120.46,3.33
14,Entry Long,ParLE,2018-03-16 14:00,612.34,105.8473,-2163.61,-3.34,5973.61,-2,1358.82,2.1,2151.08,3.32
14,Exit Long,ParSE,2018-03-17 00:00,592.14,105.8473,-2163.61,-3.34,5973.61,-2,1358.82,2.1,2151.08,3.32
15,Entry Short,ParSE,2018-03-17 00:00,592.14,108.1327,3190.90,4.98,9164.51,3.01,3203.06,5,1864.04,2.91
15,Exit Short,tpS,2018-03-17 18:00,562.40,108.1327,3190.90,4.98,9164.51,3.01,3203.06,5,1864.04,2.91
16,Entry Long,ParLE,2018-03-28 10:00,463.67,141.1609,-2679.47,-4.09,6485.03,-2.45,315.81,0.48,2666.92,4.07
16,Exit Long,ParSE,2018-03-28 20:00,444.87,141.1609,-2679.47,-4.09,6485.03,-2.45,315.81,0.48,2666.92,4.07
17,Entry Short,ParSE,2018-03-28 20:00,444.87,143.9464,3166.32,4.94,9651.35,2.97,3178.48,4.96,1004.60,1.57
17,Exit Short,tpS,2018-03-29 04:00,422.70,143.9464,3166.32,4.94,9651.35,2.97,3178.48,4.96,1004.60,1.57
18,Entry Long,ParLE,2018-03-31 02:00,413.21,159.0571,-3434.20,-5.23,6217.14,-3.13,971.42,1.48,3940.26,6
18,Exit Long,ParSE,2018-04-01 06:00,391.78,159.0571,-3434.20,-5.23,6217.14,-3.13,971.42,1.48,3940.26,6
19,Entry Short,ParSE,2018-04-01 06:00,391.78,163.2868,3056.25,4.78,9273.39,2.88,3068.43,4.8,0,0
19,Exit Short,tpS,2018-04-01 08:00,372.91,163.2868,3056.25,4.78,9273.39,2.88,3068.43,4.8,0,0
20,Entry Long,ParLE,2018-04-07 02:00,378.35,173.2893,1888.24,2.88,11161.63,1.73,2828.83,4.31,506.99,0.77
20,Exit Long,Close entry(s) order ParLE,2018-04-08 04:00,389.40,173.2893,1888.24,2.88,11161.63,1.73,2828.83,4.31,506.99,0.77
21,Entry Short,ParSE,2018-04-08 04:00,389.40,344.588,-1725.26,-1.29,9436.37,-1.55,1230.91,0.92,1698.09,1.27
21,Exit Short,ParLE,2018-04-08 08:00,394.25,344.588,-1725.26,-1.29,9436.37,-1.55,1230.91,0.92,1698.09,1.27
22,Entry Long,ParLE,2018-04-08 08:00,394.25,168.9837,3296.60,4.95,12732.97,3.01,3310.59,4.97,467.89,0.7
22,Exit Long,tpL,2018-04-09 06:00,413.92,168.9837,3296.60,4.95,12732.97,3.01,3310.59,4.97,467.89,0.7
23,Entry Long,ParLE,2018-04-18 08:00,515.51,131.1865,3366.06,4.98,16099.03,2.99,3380.27,5,1116.80,1.65
23,Exit Long,tpL,2018-04-19 12:00,541.38,131.1865,3366.06,4.98,16099.03,2.99,3380.27,5,1116.80,1.65
24,Entry Short,ParSE,2018-04-30 22:00,669.69,104.1153,3522.11,5.05,19621.15,3.03,3535.35,5.07,431.45,0.62
24,Exit Short,tpS,2018-05-01 00:00,635.60,104.1153,3522.11,5.05,19621.15,3.03,3535.35,5.07,431.45,0.62
25,Entry Long,ParLE,2018-05-09 12:00,743.49,96.4738,806.61,1.12,20427.75,0.67,2531.60,3.53,244.92,0.34
25,Exit Long,ParSE,2018-05-10 16:00,752.15,96.4738,806.61,1.12,20427.75,0.67,2531.60,3.53,244.92,0.34
26,Entry Short,ParSE,2018-05-10 16:00,752.15,96.861,3565.12,4.89,23992.87,2.96,3578.97,4.91,0,0
26,Exit Short,tpS,2018-05-11 00:00,715.05,96.861,3565.12,4.89,23992.87,2.96,3578.97,4.91,0,0
27,Entry Long,ParLE,2018-05-12 12:00,677.07,109.8691,3696.26,4.97,27689.13,2.98,3711.88,4.99,2874.77,3.86
27,Exit Long,tpL,2018-05-13 14:00,710.99,109.8691,3696.26,4.97,27689.13,2.98,3711.88,4.99,2874.77,3.86
28,Entry Short,ParSE,2018-05-21 12:00,709.52,107.9793,3801.23,4.96,31490.35,2.98,3815.78,4.98,229.12,0.3
28,Exit Short,tpS,2018-05-22 16:00,674.04,107.9793,3801.23,4.96,31490.35,2.98,3815.78,4.98,229.12,0.3
29,Entry Long,ParLE,2018-05-25 00:00,602.08,131.0143,-2612.02,-3.31,28878.34,-1.99,1999.22,2.53,2596.76,3.29
29,Exit Long,ParSE,2018-05-25 18:00,582.38,131.0143,-2612.02,-3.31,28878.34,-1.99,1999.22,2.53,2596.76,3.29
30,Entry Short,ParSE,2018-05-25 18:00,582.38,133.3194,-2675.31,-3.45,26203.03,-2.08,1808.28,2.33,3203.20,4.13
30,Exit Short,Close entry(s) order ParSE,2018-05-26 14:00,602.21,133.3194,-2675.31,-3.45,26203.03,-2.08,1808.28,2.33,3203.20,4.13
31,Entry Long,ParLE,2018-05-26 14:00,602.21,259.0752,-5706.53,-3.66,20496.50,-4.52,1370.39,0.88,5676.45,3.64
31,Exit Long,ParSE,2018-05-27 00:00,580.42,259.0752,-5706.53,-3.66,20496.50,-4.52,1370.39,0.88,5676.45,3.64
32,Entry Short,ParSE,2018-05-27 00:00,580.42,126.0855,3649.38,4.99,24145.88,3.03,3663.28,5.01,1474.71,2.02
32,Exit Short,tpS,2018-05-28 04:00,551.25,126.0855,3649.38,4.99,24145.88,3.03,3663.28,5.01,1474.71,2.02
33,Entry Long,ParLE,2018-06-01 08:00,583.11,127.7418,-1700.32,-2.28,22445.55,-1.37,898.46,1.21,1685.76,2.26
33,Exit Long,ParSE,2018-06-01 12:00,570.03,127.7418,-1700.32,-2.28,22445.55,-1.37,898.46,1.21,1685.76,2.26
34,Entry Short,ParSE,2018-06-01 12:00,570.03,128.9792,-1746.47,-2.38,20699.09,-1.43,643.09,0.87,2546.57,3.46
34,Exit Short,ParLE,2018-06-02 06:00,583.34,128.9792,-1746.47,-2.38,20699.09,-1.43,643.09,0.87,2546.57,3.46
35,Entry Long,ParLE,2018-06-02 06:00,583.34,124.4403,3627.53,5,24326.62,3.01,3642.78,5.02,0,0
35,Exit Long,tpL,2018-06-03 08:00,612.73,124.4403,3627.53,5,24326.62,3.01,3642.78,5.02,0,0
36,Entry Long,ParLE,2018-06-05 12:00,587.76,127.0756,3606.30,4.83,27932.92,2.9,3621.97,4.85,619.82,0.83
36,Exit Long,tpL,2018-06-07 00:00,616.38,127.0756,3606.30,4.83,27932.92,2.9,3621.97,4.85,619.82,0.83
37,Entry Short,ParSE,2018-06-15 22:00,493.62,155.6235,-1973.30,-2.57,25959.62,-1.54,1852.12,2.41,1957.55,2.55
37,Exit Short,ParLE,2018-06-17 02:00,506.10,155.6235,-1973.30,-2.57,25959.62,-1.54,1852.12,2.41,1957.55,2.55
38,Entry Long,ParLE,2018-06-17 02:00,506.10,150.6649,-2226.76,-2.92,23732.87,-1.77,210.75,0.28,2852.27,3.74
