Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Long,2017-08-28 04:00,343.43,29.1171,-1150.30,-11.5,-1150.30,-11.5,1476.31,14.76,3148.65,31.49
1,Exit Long,Short,2017-09-12 04:00,304.41,29.1171,-1150.30,-11.5,-1150.30,-11.5,1476.31,14.76,3148.65,31.49
2,Entry Short,Short,2017-09-12 04:00,304.41,29.0934,-296.87,-3.35,-1447.16,-3.35,45.43,0.51,357.22,4.03
2,Exit Short,Long,2017-09-12 08:00,314.15,29.0934,-296.87,-3.35,-1447.16,-3.35,45.43,0.51,357.22,4.03
3,Entry Long,Long,2017-09-12 08:00,314.15,27.2471,-91.80,-1.07,-1538.96,-1.07,0,0,328.75,3.84
3,Exit Long,Short,2017-09-12 12:00,311.25,27.2471,-91.80,-1.07,-1538.96,-1.07,0,0,328.75,3.84
4,Entry Short,Short,2017-09-12 12:00,311.25,27.2044,783.62,9.25,-755.34,9.26,3237.77,38.24,21.58,0.25
4,Exit Short,Long,2017-09-18 04:00,282.00,27.2044,783.62,9.25,-755.34,9.26,3237.77,38.24,21.58,0.25
5,Entry Long,Long,2017-09-18 04:00,282.00,32.8029,-164.33,-1.78,-919.66,-1.78,787.55,8.51,157.50,1.7
5,Exit Long,Short,2017-09-19 08:00,277.41,32.8029,-164.33,-1.78,-919.66,-1.78,787.55,8.51,157.50,1.7
6,Entry Short,Short,2017-09-19 08:00,277.41,32.7571,-393.57,-4.33,-1313.23,-4.33,0,0,582.69,6.41
6,Exit Short,Long,2017-09-19 12:00,289.00,32.7571,-393.57,-4.33,-1313.23,-4.33,0,0,582.69,6.41
7,Entry Long,Long,2017-09-19 12:00,289.00,30.0825,-283.58,-3.26,-1596.81,-3.26,715.46,8.23,1116.56,12.84
7,Exit Long,Short,2017-09-29 04:00,280.00,30.0825,-283.58,-3.26,-1596.81,-3.26,715.46,8.23,1116.56,12.84
8,Entry Short,Short,2017-09-29 04:00,280.00,30.0339,-327.31,-3.89,-1924.12,-3.9,110.52,1.31,336.68,4
8,Exit Short,Long,2017-09-29 08:00,290.47,30.0339,-327.31,-3.89,-1924.12,-3.9,110.52,1.31,336.68,4
9,Entry Long,Long,2017-09-29 08:00,290.47,27.8213,-58.27,-0.72,-1982.39,-0.72,467.46,5.78,208.88,2.58
9,Exit Long,Short,2017-10-05 08:00,288.81,27.8213,-58.27,-0.72,-1982.39,-0.72,467.46,5.78,208.88,2.58
10,Entry Short,Short,2017-10-05 08:00,288.81,27.7817,-184.13,-2.29,-2166.52,-2.3,72.05,0.9,210.49,2.62
10,Exit Short,Long,2017-10-05 16:00,295.00,27.7817,-184.13,-2.29,-2166.52,-2.3,72.05,0.9,210.49,2.62
11,Entry Long,Long,2017-10-05 16:00,295.00,26.6654,121.69,1.55,-2044.83,1.55,1567.36,19.93,228.56,2.91
11,Exit Long,Short,2017-10-18 08:00,300.01,26.6654,121.69,1.55,-2044.83,1.55,1567.36,19.93,228.56,2.91
