Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,ParLE,2018-01-01 22:00,759.01,79.0222,2997.21,5,2997.21,3,3009.81,5.02,798.27,1.33
1,Exit Long,tpL,2018-01-02 00:00,797.25,79.0222,2997.21,5,2997.21,3,3009.81,5.02,798.27,1.33
2,Entry Long,ParLE,2018-02-17 00:00,938.61,65.836,1120.60,1.81,4117.81,1.09,2613.84,4.23,350.10,0.57
2,Exit Long,ParSE,2018-02-18 02:00,956.01,65.836,1120.60,1.81,4117.81,1.09,2613.84,4.23,350.10,0.57
3,Entry Short,ParSE,2018-02-18 02:00,956.01,66.0511,2848.54,4.51,6966.35,2.74,2892.30,4.58,32.44,0.05
3,Exit Short,Close position order,2018-02-18 06:00,912.51,66.0511,2848.54,4.51,6966.35,2.74,2892.30,4.58,32.44,0.05
4,Entry Short,ParSE,2018-03-03 22:00,854.11,75.1414,-414.23,-0.65,6552.12,-0.39,1329.94,2.07,530.56,0.83
4,Exit Short,ParLE,2018-03-04 12:00,859.28,75.1414,-414.23,-0.65,6552.12,-0.39,1329.94,2.07,530.56,0.83
5,Entry Long,ParLE,2018-03-04 12:00,859.28,74.9387,-39.99,-0.06,6512.13,-0.04,921.61,1.43,633.37,0.98
5,Exit Long,ParSE,2018-03-05 14:00,859.09,74.9387,-39.99,-0.06,6512.13,-0.04,921.61,1.43,633.37,0.98
6,Entry Short,ParSE,2018-03-05 14:00,859.09,74.7775,3194.12,4.97,9706.25,3,3206.32,4.99,378.51,0.59
6,Exit Short,tpS,2018-03-06 16:00,816.04,74.7775,3194.12,4.97,9706.25,3,3206.32,4.99,378.51,0.59
7,Entry Long,ParLE,2018-03-13 08:00,701.70,93.8341,-1724.39,-2.62,7981.85,-1.57,624.90,0.95,2049.37,3.11
7,Exit Long,Close entry(s) order ParLE,2018-03-13 20:00,683.60,93.8341,-1724.39,-2.62,7981.85,-1.57,624.90,0.95,2049.37,3.11
8,Entry Short,ParSE,2018-03-13 20:00,683.60,188.5997,6326.26,4.91,14308.11,5.86,6350.77,4.93,3786.46,2.94
8,Exit Short,tpS,2018-03-14 12:00,649.79,188.5997,6326.26,4.91,14308.11,5.86,6350.77,4.93,3786.46,2.94
9,Entry Short,ParSE,2018-03-17 14:00,583.36,117.7402,3503.08,5.1,17811.20,3.06,3516.11,5.12,423.47,0.62
9,Exit Short,tpS,2018-03-17 18:00,553.38,117.7402,3503.08,5.1,17811.20,3.06,3516.11,5.12,423.47,0.62
10,Entry Short,ParSE,2018-03-28 22:00,443.34,159.4377,3505.57,4.96,21316.77,2.98,3519.00,4.98,1356.60,1.92
10,Exit Short,tpS,2018-03-29 04:00,421.18,159.4377,3505.57,4.96,21316.77,2.98,3519.00,4.98,1356.60,1.92
11,Entry Short,ParSE,2018-04-01 08:00,377.27,192.9286,3608.32,4.96,24925.09,2.97,3622.15,4.98,1120.04,1.54
11,Exit Short,tpS,2018-04-01 14:00,358.42,192.9286,3608.32,4.96,24925.09,2.97,3622.15,4.98,1120.04,1.54
12,Entry Long,ParLE,2018-04-17 14:00,515.72,145.3434,3716.22,4.96,28641.31,2.97,3731.96,4.98,2296.88,3.06
12,Exit Long,tpL,2018-04-19 12:00,541.50,145.3434,3716.22,4.96,28641.31,2.97,3731.96,4.98,2296.88,3.06
13,Entry Short,ParSE,2018-05-10 18:00,741.99,104.024,3829.19,4.96,32470.49,2.98,3843.85,4.98,408.65,0.53
13,Exit Short,tpS,2018-05-11 06:00,704.89,104.024,3829.19,4.96,32470.49,2.98,3843.85,4.98,408.65,0.53
14,Entry Long,ParLE,2018-06-02 04:00,577.93,137.5316,3940.70,4.96,36411.20,2.97,3957.39,4.98,218.07,0.27
14,Exit Long,tpL,2018-06-03 06:00,606.82,137.5316,3940.70,4.96,36411.20,2.97,3957.39,4.98,218.07,0.27
15,Entry Short,ParSE,2018-06-08 12:00,596.55,137.1977,-1244.44,-1.52,35166.76,-0.91,425.41,0.52,1720.36,2.1
15,Exit Short,Close entry(s) order ParSE,2018-06-09 08:00,605.38,137.1977,-1244.44,-1.52,35166.76,-0.91,425.41,0.52,1720.36,2.1
16,Entry Long,ParLE,2018-06-09 08:00,605.38,271.3227,-2854.34,-1.74,32312.42,-2.11,460.96,0.28,2822.05,1.72
16,Exit Long,ParSE,2018-06-09 22:00,595.10,271.3227,-2854.34,-1.74,32312.42,-2.11,460.96,0.28,2822.05,1.72
17,Entry Short,ParSE,2018-06-09 22:00,595.10,134.5364,3955.09,4.94,36267.50,2.99,3970.30,4.96,0,0
17,Exit Short,tpS,2018-06-10 06:00,565.47,134.5364,3955.09,4.94,36267.50,2.99,3970.30,4.96,0,0
18,Entry Short,ParSE,2018-07-05 20:00,462.67,176.6839,-2349.49,-2.87,33918.02,-1.72,1994.31,2.44,2332.68,2.85
18,Exit Short,ParLE,2018-07-06 16:00,475.78,176.6839,-2349.49,-2.87,33918.02,-1.72,1994.31,2.44,2332.68,2.85
19,Entry Long,ParLE,2018-07-06 16:00,475.78,170.6562,730.20,0.9,34648.22,0.55,3431.02,4.23,2453.21,3.02
19,Exit Long,ParSE,2018-07-09 02:00,480.25,170.6562,730.20,0.9,34648.22,0.55,3431.02,4.23,2453.21,3.02
20,Entry Short,ParSE,2018-07-09 02:00,480.25,168.9685,4045.57,4.99,38693.79,3,4060.98,5,918.52,1.13
20,Exit Short,tpS,2018-07-10 02:00,456.12,168.9685,4045.57,4.99,38693.79,3,4060.98,5,918.52,1.13
21,Entry Short,ParSE,2018-07-15 02:00,431.91,192.706,-1910.62,-2.3,36783.16,-1.38,95.12,0.11,1893.60,2.28
21,Exit Short,ParLE,2018-07-15 10:00,441.65,192.706,-1910.62,-2.3,36783.16,-1.38,95.12,0.11,1893.60,2.28
22,Entry Long,ParLE,2018-07-15 10:00,441.65,186.2488,4127.06,5.02,40910.22,3.02,4144.35,5.04,0,0
22,Exit Long,tpL,2018-07-16 08:00,463.99,186.2488,4127.06,5.02,40910.22,3.02,4144.35,5.04,0,0
23,Entry Short,ParSE,2018-07-22 22:00,456.24,185.3025,-1991.00,-2.36,38919.22,-1.41,362.96,0.43,2533.32,3
23,Exit Short,Close entry(s) order ParSE,2018-07-23 06:00,466.80,185.3025,-1991.00,-2.36,38919.22,-1.41,362.96,0.43,2533.32,3
24,Entry Long,ParLE,2018-07-23 06:00,466.80,363.8655,-4167.88,-2.45,34751.34,-3,948.47,0.56,4134.73,2.43
24,Exit Long,ParSE,2018-07-23 16:00,455.53,363.8655,-4167.88,-2.45,34751.34,-3,948.47,0.56,4134.73,2.43
25,Entry Short,ParSE,2018-07-23 16:00,455.53,181.3391,-1516.69,-1.84,33234.64,-1.13,1510.35,1.83,1499.87,1.82
25,Exit Short,ParLE,2018-07-24 06:00,463.71,181.3391,-1516.69,-1.84,33234.64,-1.13,1510.35,1.83,1499.87,1.82
26,Entry Long,ParLE,2018-07-24 06:00,463.71,172.475,790.55,0.99,34025.19,0.59,3788.80,4.74,0,0
26,Exit Long,ParSE,2018-07-25 10:00,468.48,172.475,790.55,0.99,34025.19,0.59,3788.80,4.74,0,0
27,Entry Short,ParSE,2018-07-25 10:00,468.48,172.5197,-1978.74,-2.45,32046.45,-1.48,756.72,0.94,1962.19,2.43
27,Exit Short,ParLE,2018-07-26 06:00,479.76,172.5197,-1978.74,-2.45,32046.45,-1.48,756.72,0.94,1962.19,2.43
28,Entry Long,ParLE,2018-07-26 06:00,479.76,165.8201,-2288.18,-2.88,29758.27,-1.73,852.99,1.07,2272.72,2.86
28,Exit Long,ParSE,2018-07-26 20:00,466.15,165.8201,-2288.18,-2.88,29758.27,-1.73,852.99,1.07,2272.72,2.86
29,Entry Short,ParSE,2018-07-26 20:00,466.15,169.6276,-846.00,-1.07,28912.27,-0.65,1733.05,2.19,830.03,1.05
29,Exit Short,ParLE,2018-07-27 20:00,470.95,169.6276,-846.00,-1.07,28912.27,-0.65,1733.05,2.19,830.03,1.05
30,Entry Long,ParLE,2018-07-27 20:00,470.95,165.0381,-1433.63,-1.84,27478.64,-1.11,487.82,0.63,1687.38,2.17
30,Exit Long,ParSE,2018-07-30 00:00,462.45,165.0381,-1433.63,-1.84,27478.64,-1.11,487.82,0.63,1687.38,2.17
31,Entry Short,ParSE,2018-07-30 00:00,462.45,166.2546,3850.40,5.01,31329.04,3.02,3865.01,5.03,803.42,1.04
31,Exit Short,tpS,2018-07-31 10:00,439.11,166.2546,3850.40,5.01,31329.04,3.02,3865.01,5.03,803.42,1.04
32,Entry Short,ParSE,2018-08-07 20:00,394.83,199.7096,-35.54,-0.05,31293.50,-0.03,0,0,19.76,0.03
32,Exit Short,Close position order,2018-08-07 20:00,394.85,199.7096,-35.54,-0.05,31293.50,-0.03,0,0,19.76,0.03
33,Entry Long,ParLE,2018-09-04 14:00,289.43,272.1955,-1680.69,-2.13,29612.82,-1.28,406.15,0.52,1665.26,2.11
33,Exit Long,ParSE,2018-09-04 18:00,283.37,272.1955,-1680.69,-2.13,29612.82,-1.28,406.15,0.52,1665.26,2.11
34,Entry Short,ParSE,2018-09-04 18:00,283.37,277.6981,3907.07,4.97,33519.89,3.01,3922.02,4.98,1195.96,1.52
34,Exit Short,tpS,2018-09-05 08:00,269.19,277.6981,3907.07,4.97,33519.89,3.01,3922.02,4.98,1195.96,1.52
